#Please see the below information and the technical report Lalti et al.2022 doi:https://doi.org/10.48550/arXiv.2203.04680 (submitted to JGR: space physics) for details about the content of the database.
#If you have further questions suggestions or comments please feel free to contact Ahmad Lalti: ahmadl@irfu.se or Andrew Dimmock: andrew.dimmock@irfu.se .
#
#Global Attributes:
#Project: SHARP (SHocks=structure AcceleRation dissiPation)
#Funding: Funded by the European Union’s Horizon 2020 research and innovation programme
#Generated_by: Swedish Institute of Space Physics (IRF) Uppsala Sweden
#Version: V1.0
#Generated_on: 08-Mar-2022
#PI_name: Yuri Khotyaintsev (yuri@irfu.se)
#Bow_shock_mission: Magnetospheric Multiscale (MMS)
#Bow_shock_mission_source: https://lasp.colorado.edu/mms/sdc/public/
#Solar_wind_mission: OMNI (ACE and Wind)
#Solar_wind_mission_source: https://omniweb.gsfc.nasa.gov
#Bow_shock_ID_method: Automated classification of plasma regions using 3D particle energy distributions: https://doi.org/10.1029/2021JA029620
#Rules_of_use: Acknoweldge database by citing paper Lalti et al. 2022 doi:https://doi.org/10.48550/arXiv.2203.04680 (submitted to JGR: space physics)
#Event_type: Terrestrial bow shocks measured by MMS
#Project_website: https://sharp.fmi.fi
#Bow_shock_model_normal: The thickness of the magnetosheath: Constraints on the polytropic index by Farris et al. 1991: https://doi.org/10.1029/91GL02090
#Software_routines: Database generated using open source IRFU MATLAB package: https://github.com/irfu/irfu-matlab
#Units: B [nT] N [cm^-3] V[km/s] T[eV] R [km] Pressure [nPa]
#Co_ordinates: All vectors in the Geocentric Solar Ecliptic System (GSE)
#Time_format: epoch: seconds since the epoch 1 Jan 1970 default used by the ISDAT system.
#
#Field descriptions:
#direction: Flag indicating if the shock is inbound (1) or outbound (-1)
#time: Date and time interval of the shock crossing in epoch time
#burst_start - burst_end: Burst mode interval [start stop] in epoch time. When burst is unavailable [0 0]
#Bx_us - By_us - Bz_us: Upstream GSE magnetic field vector in nT [x y z]
#B_us_abs: Upstream GSE magnetic field magnitude in nT |B|
#sB_us_abs: standard deviation on the magnitude of the upstream magnetic field
#Delta_theta_B: The maximum rotation of the upstream mangetic field vector in the OMNI interval used
#Ni_us: Upstream ion number density in cubic cm
#Ti_us: Upstream ion temperature in eV
#Vx_us - Vy_us - Vz_us: Upstream GSE solar wind velocity vector [x y z] in km/s
#beta_i_us: Upstream ion plasma beta
#Pdyn_us: Upstream dynamic pressure
#thBn: Shock geometry: Angle between the shock normal and upstream magnetic field in degrees
#sthBn: Standard deviation of thBn based on variation in upstream B in the OMNI interval used
#normal_x - normal_y - normal_z: Shock surface normal (in GSE) according to the model by Farris et al. 1991
#MA: Shock Alfvenic Mach number (assuming shock speed = 0) MA=us_V.normal/us_VA where us_VA is the upstream alfven speed
#sMA: Standard deviation of MA based on variation in upstream B in the OMNI interval used
#Mf: Shock fast mode Mach number (assuming shock speed = 0) Mf=us_V.normal/us_Vf, where us_Vf is the upstream fast mode speed. The electron temperature was taken constant for all shocks at Te = 140000 (k).
#sMf: Standard deviation of Mf based on variation in upstream B in the OMNI interval used
#B_jump: Magnetic field compression ratio
#Ni_jump: Ion density compression ratio
#Te_jump: Electron temperature ratio
#pos_x - pos_y - pos_z: The location of the spacecraft (in GSE and in km) when it observed the shock (MMS1)
#sc_sep_min - sc_sep_max - sc_sep_mean: MMS Spacecraft separation [min max mean] in km
#TQF: Tetrahedron quality factor
#
#Fill value = -1e30
#
#time,direction,burst_start,burst_end,Bx_us,By_us,Bz_us,B_us_abs,sB_us_abs,Delta_theta_B,Ni_us,Ti_us,Vx_us,Vy_us,Vz_us,beta_i_us,Pdyn_us,thBn,sthBn,normal_x,normal_y,normal_z,MA,sMA,Mf,sMf,B_jump,Ni_jump,Te_jump,pos_x,pos_y,pos_z,sc_sep_min,sc_sep_max,sc_sep_mean,TQF
1444216750.71825,-1,1444216694.80784,1444216813.80155,-1e+30,10.293,2.82,14.3810414514687,1.53478799518142,14.430204755819,27.6675,11.5091702732556,-416.0125,-60.5375,27.925,0.619988325072196,9.8125,71.6090236107001,2.93390194947603,0.911798169532075,0.409905618132988,-0.0245251352895355,6.78827288708612,0.746836536155723,4.57863122321698,0.214501295775944,3.37326161059769,4.50611734390259,2.47400450706482,51867.12,54819.39,-3019.81,23.8,30.5,27.5,0.95185
1444217708.18971,1,1444217664.82028,1444217883.81528,-1e+30,6.065,10.705,12.6407503160836,2.28262067867226,17.7516656140652,36.885,7.75717690791763,-418.61,-61.72,10.88,0.721037797092965,13.236,87.6045356471783,2.82655812250543,0.908910630911245,0.416213390804529,-0.0254534542158697,8.95276806665281,1.66499546868605,5.50883392563003,0.372251796976663,3.70193386728075,4.14324474334717,3.18274855613708,51374.47,55656.74,-3137.29,23.3,30.6,27.2,0.94775
1444217844.22567,-1,1444217664.82028,1444217883.81528,-1e+30,7.572,8.732,12.8284781355969,2.35742531978166,36.6744067179323,37.705,8.22784703336274,-419.97,-62.83,6.2,0.759075774040261,13.616,89.894654044884,5.474601346091,0.908542388077193,0.417009488507688,-0.0255698173937207,8.95164662571122,1.74625748942334,5.45273102186775,0.368437810056155,3.69709228327432,4.19838809967041,3.20005965232849,51309.85,55758.13,-3151.79,23.2,30.6,27.2,0.94715
1444218279.25037,1,1444218254.82785,1444218323.82093,-5.859,10.839,5.235,13.7488900392315,2.16416077887011,29.4917650872449,33.8155555555556,10.5597663527653,-421.522222222222,-59.3666666666667,5.05555555555556,0.76065165121191,12.2733333333333,86.1466212108868,3.893807448898,0.907182947105719,0.419932081427018,-0.0260028357867976,7.90093658440437,1.5158227331901,4.92585859702549,0.299703585762463,3.40863241705016,4.66724538803101,3.3655698299408,51061.56,56131.82,-3205.79,23,30.6,27.1,0.9457
1444219630.7378,-1,1444219564.84469,1444219783.8397,-12.543,12.637,0.181,17.8586400939035,0.745850742010518,8.17459237299648,23.676,7.38236599768063,-420.07,-60.5,10.16,0.220677160667663,8.536,70.5969660206533,3.5808439214988,0.903063201352429,0.428639291213723,-0.0272985785508909,5.0659919389497,0.219452191645223,4.17407389656487,0.118817637690523,3.19073788944319,5.40148591995239,2.78739953041077,50260.97,57191.02,-3364.23,22.6,30.6,26.9,0.94235
1444222456.75703,1,1444222434.88171,1444222513.87491,-10.0388888888889,11.0044444444444,2.78555555555556,15.2696896325791,1.76739945691264,10.8055493880014,33.794,7.83503451394112,-414.94,-57.92,1.64,0.457267513097318,11.886,74.1227577879192,2.69563241290456,0.894219796485589,0.44662158387458,-0.0300019397811685,6.92860380098991,0.989319554616374,4.90038017473209,0.284340884946489,3.37586441045173,6.0979061126709,3.11064171791077,48326.45,59101.08,-3677.12,22.3,30.5,26.5,0.94275
1444222794.25933,-1,1444222774.8861,1444222833.87905,-9.70666666666667,11.5588888888889,-1.45666666666667,15.6101316415747,0.703127939493116,23.7417932016936,34.2414285714286,7.20694663760597,-421.514285714286,-51.6714285714286,-0.2,0.407793505019111,12.3628571428571,76.8928864779061,5.35183131803223,0.893160208892325,0.448715491480337,-0.0303191186708547,6.868522592497,0.298383424449433,4.94716857852628,0.112887926838199,3.37643484858471,5.8430700302124,3.17833161354065,48077.47,59297.54,-3712.07,22.3,30.5,26.5,0.943599999999999
1444225593.27841,1,1444225434.92056,1444225813.91766,-6.435,8.521,0.658,13.7997878601211,2.09439861844626,60.5032314473892,29.72,11.7013044900017,-433.87,-48.77,6.06,0.735340555847762,11.334,80.671512161015,5.09576426637225,0.883880981419997,0.466543025496411,-0.0330456660498471,7.3613160968316,1.41964216057708,4.68740872320804,0.284905692854148,3.11556505769371,4.73386001586914,2.45678496360779,45762.43,60740.37,-3995.62,22.9,30.2,26.5,0.95535
1445411105.63199,-1,1445411044.22785,1445411303.22338,5.27333333333333,3.88777777777778,2.81555555555556,7.19729677741483,0.256751796568029,13.1035817698254,18.53125,5.25239388327642,-350.6625,-5.5875,2.6375,0.756612363414675,4.55375,33.4924340293887,7.36790769839609,0.974788893076086,0.222197849363597,-0.0203649128083522,9.40869089933977,0.325069930299706,6.03513690378362,0.0505260574525525,2.64297998130015,3.47923922538757,1.80883848667145,62457.56,30827.08,-2484.97,14.9,18,16.1,0.9781
1445411245.13295,1,1445411044.22785,1445411303.22338,5.222,3.848,2.849,7.15434514855402,0.167317048880732,13.3336135547676,18.759,5.25898614322196,-350.41,-5.55,3.33,0.77610804880034,4.605,33.7659690510526,7.05447699355591,0.974560107479738,0.223188430603744,-0.0204822204294211,9.5144298834059,0.219141688714937,6.03867494820732,0.0319750060045606,2.57735368203227,3.34057068824768,1.85533821582794,62498,30988.04,-2502.45,14.9,18,16,0.97835
